CASE_NUMBER,DATE,VICTIMIZATION_PRIMARY,INCIDENT_PRIMARY,GUNSHOT_INJURY_I,COMMUNITY_AREA,STREET_OUTREACH_ORGANIZATION,AREA,DISTRICT,BEAT,AGE,SEX,RACE,VICTIMIZATION_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION
JE228341,5/13/21,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621,1,7,712,40-49,M,BLK,AGGRAVATED - HANDGUN,5,5,0,GAS STATION
JE228347,5/13/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,20-29,F,BLK,AGGRAVATED - HANDGUN,5,5,0,SIDEWALK
JE228347,5/13/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,20-29,F,BLK,AGGRAVATED - HANDGUN,5,5,0,SIDEWALK
JE228597,5/13/21,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,712,30-39,M,BLK,AGGRAVATED - HANDGUN,5,5,10,VACANT LOT / LAND
JE229127,5/13/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1012,0-19,M,BLK,AGGRAVATED - OTHER FIREARM,5,5,18,SIDEWALK
JE229166,5/13/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,735,0-19,M,BLK,AGGRAVATED - HANDGUN,5,5,18,PARK PROPERTY
JE229166,5/13/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,735,0-19,M,BLK,AGGRAVATED - HANDGUN,5,5,18,PARK PROPERTY
JE229402,5/14/21,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,712,0-19,F,WBH,AGGRAVATED - HANDGUN,5,6,0,STREET
JE229436,5/14/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,323,20-29,F,BLK,AGGRAVATED - HANDGUN,5,6,0,STREET
JE230374,5/14/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1132,20-29,M,BLK,AGGRAVATED - HANDGUN,5,6,20,STREET
JE230374,5/14/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1132,20-29,M,BLK,AGGRAVATED - HANDGUN,5,6,20,STREET
JE230374,5/14/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1132,20-29,M,BLK,AGGRAVATED - HANDGUN,5,6,20,STREET
JE230648,5/15/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,30-39,M,BLK,AGGRAVATED - HANDGUN,5,7,4,STREET
JE230684,5/15/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1131,20-29,F,BLK,AGGRAVATED - HANDGUN,5,7,5,VEHICLE NON-COMMERCIAL
JE230684,5/15/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1131,20-29,M,BLK,AGGRAVATED - HANDGUN,5,7,5,VEHICLE NON-COMMERCIAL
JE231185,5/15/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1012,20-29,M,BLK,AGGRAVATED - HANDGUN,5,7,16,STREET
JE231442,5/15/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,READI 60621 | Public Equity Englewood,1,7,722,20-29,M,BLK,AGGRAVATED - HANDGUN,5,7,22,ALLEY
JE231713,5/16/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1014,20-29,M,API,AGGRAVATED POLICE OFFICER - HANDGUN,5,1,7,VACANT LOT / LAND
JE231713,5/16/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1014,20-29,M,WWH,AGGRAVATED POLICE OFFICER - HANDGUN,5,1,7,VACANT LOT / LAND
JE232119,5/16/21,BATTERY,BATTERY,YES,AUSTIN,Together Chicago Austin | READI 60644 | INVC Austin,4,15,1531,0-19,M,BLK,AGGRAVATED - HANDGUN,5,1,16,OTHER (SPECIFY)
JE233585,5/17/21,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,733,0-19,M,BLK,AGGRAVATED - HANDGUN,5,2,21,STREET
JE233849,5/18/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,READI 60631 | Public Equity West Englewood,1,7,713,30-39,M,BLK,AGGRAVATED - HANDGUN,5,3,9,VEHICLE NON-COMMERCIAL
JE233860,5/18/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1523,40-49,M,BLK,AGGRAVATED - HANDGUN,5,3,9,SIDEWALK
JE234329,5/18/21,BATTERY,BATTERY,YES,WASHINGTON PARK,Acclivus Washington Park,1,2,231,0-19,M,BLK,AGGRAVATED - HANDGUN,5,3,15,SIDEWALK
JE234357,5/18/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,UCAN North Lawndale | READI 60624 | INVC West Garfield Park,4,11,1132,20-29,M,BLK,AGGRAVATED - HANDGUN,5,3,16,STREET
JE235126,5/19/21,ROBBERY,ROBBERY,YES,NORTH LAWNDALE,READI 60623,4,10,1011,40-49,M,WWH,ARMED - HANDGUN,5,4,11,SIDEWALK
JE235416,5/19/21,BATTERY,BATTERY,YES,WASHINGTON PARK,Acclivus Washington Park,1,2,231,20-29,M,BLK,AGGRAVATED - HANDGUN,5,4,15,STREET
JE235846,5/19/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1131,20-29,M,BLK,AGGRAVATED - HANDGUN,5,4,22,VEHICLE NON-COMMERCIAL
JE236960,5/20/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1524,20-29,M,BLK,AGGRAVATED - HANDGUN,5,5,23,STREET
JE236960,5/20/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1524,30-39,M,BLK,AGGRAVATED - HANDGUN,5,5,23,STREET
